cause_of_death,category_human
acute myocardial infarction unspecified,ischaemic heart disease
lyme disease,none
toxic liver disease with other disorders of liver,none
naevus non-neoplastic,none
other congenital malaria,none
other secondary kyphosis,none
abdominal aortic aneurysm ruptured,none
joint derangement unspecified,none
cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,cerebrovascular disease
obsessive-compulsive disorder unspecified,none
malignant neoplasm malignant melanoma of lip,none
thrombolytic drugs,none
retinal haemorrhage,none
fistula of stomach and duodenum,none
other and unspecified adrenocortical insufficiency,none
rider or occupant injured in collision with fixed or stationary object,none
cervicobrachial syndrome,none
other fusion of spine,none
alcoholic hepatitis,none
hemiplegia unspecified,none
intrauterine hypoxia unspecified,none
haematemesis,none
phlebitis and thrombophlebitis of other sites,none
partial anomalous pulmonary venous connection,none
fetus and newborn affected by forceps delivery,none
rheumatic aortic insufficiency,none
other specified disorders of arteries and arterioles,none
malignant neoplasm pylorus,stomach cancer
myxoedema coma,none
during aspiration puncture and other catheterization,none
other spontaneous pneumothorax,none
other and unspecified abnormalities of breathing,none
other disorders of purine and pyrimidine metabolism,none
toxic erythema,none
crohn disease of small intestine,none
acute and subacute haemorrhagic leukoencephalitis [hurst],none
other nonrheumatic tricuspid valve disorders,none
hereditary spherocytosis,none
fistula of vagina to large intestine,none
disorders of iron metabolism,none
occupant of three-wheeled motor vehicle injured in collision with car pick-up truck or van driver injured in traffic accident,none
tubal pregnancy,none
neoplasm of uncertain or unknown behaviour other female genital organs,none
congenital myopathies,none
tumour lysis syndrome,none
motorcycle rider injured in collision with two- or three-wheeled motor vehicle passenger injured in traffic accident,none
short rib syndrome,none
asphyxia,none
rapidly progressive nephritic syndrome unspecified,none
pulmonary valve stenosis with insufficiency,none
hypoplasia and dysplasia of lung,none
acute laryngotracheitis,none
calcium-channel blockers,none
other secondary pulmonary hypertension,none
varicella meningitis,none
calculus of bile duct with cholangitis,none
other and unspecified atrioventricular block,none
congenital mitral stenosis,none
malignant neoplasm connective and soft tissue of pelvis,none
schizoaffective disorder unspecified,none
malignant neoplasm heart,none
feeding disorder of infancy and childhood,none
androgens and anabolic congeners,none
chronic eosinophilic leukaemia [hypereosinophilic syndrome],none
disorder of prostate unspecified,none
benign neoplasm respiratory system unspecified,none
acute abdomen,none
legal intervention involving firearm discharge,none
other osteonecrosis,none
malignant neoplasm ureteric orifice,bladder cancer
other vascular dementia,cerebrovascular disease
acute bronchiolitis due to respiratory syncytial virus,none
other and unspecified abnormalities of heart beat,none
pulmonary infundibular stenosis,none
other peritonitis,none
other specified interstitial pulmonary diseases,pulmonary disease
congenital tricuspid stenosis,none
passenger of special construction vehicle injured in nontraffic accident,none
muscle wasting and atrophy not elsewhere classified,none
other specified intestinal infections,none
acute haemorrhagic gastritis,none
mycoplasma infection unspecified site,none
acute myelofibrosis - from 2008 classification,none
acute rheumatic pericarditis,none
intestinal capillariasis,none
diplegia of upper limbs,none
unspecified diabetes mellitus with multiple complications,none
oedema of larynx,none
pedal cyclist [any] injured in other specified transport accidents,none
placenta praevia with haemorrhage,none
parachutist injured in air transport accident,none
other aortic valve disorders,none
aneurysm and dissection of vertebral artery,none
campylobacter enteritis,none
other nonspecific lymphadenitis,none
glycogen storage disease,none
malignant neoplasm overlapping lesion of pancreas,pancreatic cancer
water-transport-related drowning and submersion without accident to watercraft merchant ship,none
arterial fibromuscular dysplasia,none
drug-induced cushing syndrome,none
malignant neoplasm bones of skull and face,none
cefalosporins and other beta-lactam antibiotics,none
sequelae of motor-vehicle accident,none
other specified diseases of pulmonary vessels,none
granulomatous hepatitis not elsewhere classified,none
malignant neoplasm cerebral meninges,none
trichilemmal cyst,none
other apnoea of newborn,none
pneumococcal meningitis,none
tuberculosis of genitourinary system,none
occupant of heavy transport vehicle injured in collision with fixed or stationary object person on outside of vehicle injured in traffic accident,none
unspecified abortion complete or unspecified without complication,none
idiopathic aplastic anaemia,none
persistant atrial fibrillation from 2014 onwards,none
malignant neoplasm anal canal,none
pyogenic granuloma,none
pedestrian injured in unspecified nontraffic accident,none
other and unspecified hydronephrosis,none
malignant neoplasm middle lobe bronchus or lung,lung cancer
person injured in collision between car and pick-up truck or van traffic,none
acute appendicitis with generalized peritonitis,none
neoplasm of uncertain or unknown behaviour bladder,bladder cancer
viral infection unspecified,none
discitis unspecified,none
other hyperphenylalaninaemias,none
diseases of bronchus not elsewhere classified,pulmonary disease
malignant neoplasm adrenal gland unspecified,none
disorders of pyruvate metabolism and gluconeogenesis,none
gastric ulcer acute with both haemorrhage and perforation,none
glanders,none
fatigue fracture of vertebra,none
carcinoma in situ other and unspecified urinary organs,none
diverticulum of oesophagus acquired,none
neoplasm of uncertain or unknown behaviour trachea bronchus and lung,lung cancer
cerebral infarction due to thrombosis of cerebral arteries,cerebrovascular disease
benign neoplasm thymus,none
spontaneous ecchymoses,none
other specified disorders of brain,none
malignant neoplasm overlapping lesion of other and unspecified parts of mouth,oral cavity cancer
pedal cyclist injured in collision with car pick-up truck or van unspecified pedal cyclist injured in traffic accident,none
cyst of spleen,none
congenital stenosis of aortic valve,none
trigeminal neuralgia,none
unspecified nephritic syndrome diffuse mesangiocapillary glomerulonephritis,none
other specified diabetes mellitus with unspecified complications,none
hypovolaemic shock,none
non-neuropathic heredofamilial amyloidosis,none
acute leukaemia of unspecified cell type,none
other specified osteochondrodysplasias,none
candidiasis of other urogenital sites,none
ventricular fibrillation and flutter,none
other shock,none
senile degeneration of brain not elsewhere classified,none
ventral hernia with gangrene from 2014 onwards,none
staphylococcal arthritis and polyarthritis,none
other diseases of tongue,none
